codigo_ocorrencia,aeronave_matricula,aeronave_operador_categoria,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_pmd_categoria,aeronave_assentos,aeronave_ano_fabricacao,aeronave_pais_fabricante,aeronave_pais_registro,aeronave_registro_categoria,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_fase_operacao_icao,aeronave_tipo_operacao,aeronave_nivel_dano,total_fatalidades,aeronave_dia_extracao
201106142171203,PPGXE,AEROCLUBE,AVI√O,NEIVA INDUSTRIA AERONAUTICA,56-C,PAUL,PIST√O,MONOMOTOR,660,AT… 2250 KG,2,1962,BRASIL,BRASIL,PRI,INSTRU«√O,SDPW,SDPW,INDETERMINADA,UNKNOWN,VOO DE INSTRU«√O,SUBSTANCIAL,0,5/31/2019
201205209591320,PTRBN,OPERADOR DE AERONAVE,AVI√O,EMBRAER,EMB-810C,PA34,PIST√O,BIMOTOR,2073,AT… 2250 KG,6,1980,BRASIL,BRASIL,TPX,T¡XI A…REO,****,****,APROXIMA«√O FINAL,APPROACH,T¡XI A…REO,NENHUM,0,5/31/2019
201012015549851,PTKUK,OPERADOR DE AERONAVE,AVI√O,TWIN COMMANDER,500-B,AC50,PIST√O,BIMOTOR,3062,ENTRE 2250 E 5700 KG,7,1961,ESTADOS UNIDOS,BRASIL,TPX,T¡XI A…REO,****,****,CORRIDA APOS POUSO,LANDING,T¡XI A…REO,LEVE,0,5/31/2019
201708190325167,PTKUK,OPERADOR PARTICULAR,AVI√O,TWIN COMMANDER,500-B,AC50,PIST√O,BIMOTOR,3062,ENTRE 2250 E 5700 KG,7,1961,ESTADOS UNIDOS,BRASIL,SAE,ESPECIALIZADA,SBCP,SBCP,CRUZEIRO,EN ROUTE,OPERA«√O ESPECIALIZADA,LEVE,0,5/31/2019
201803182255192,PPGSZ,AEROCLUBE,AVI√O,NEIVA INDUSTRIA AERONAUTICA,56-C,PAUL,PIST√O,MONOMOTOR,660,AT… 2250 KG,2,1960,BRASIL,BRASIL,PRI,INSTRU«√O,SBBP,SBBP,ARREMETIDA NO SOLO,APPROACH,VOO DE INSTRU«√O,LEVE,0,5/31/2019
201807201528228,PPGSZ,AEROCLUBE,AVI√O,NEIVA INDUSTRIA AERONAUTICA,56-C,PAUL,PIST√O,MONOMOTOR,660,AT… 2250 KG,2,1960,BRASIL,BRASIL,PRI,INSTRU«√O,SBBP,SBBP,ARREMETIDA NO SOLO,APPROACH,VOO DE INSTRU«√O,LEVE,0,5/31/2019
201102219282454,PPGSZ,AEROCLUBE,AVI√O,NEIVA INDUSTRIA AERONAUTICA,56-C,PAUL,PIST√O,MONOMOTOR,660,AT… 2250 KG,2,1960,BRASIL,BRASIL,PRI,INSTRU«√O,****,****,CORRIDA APOS POUSO,LANDING,VOO DE INSTRU«√O,NENHUM,0,5/31/2019
201511054981552,PPGSZ,AEROCLUBE,AVI√O,NEIVA INDUSTRIA AERONAUTICA,56-C,PAUL,PIST√O,MONOMOTOR,660,AT… 2250 KG,2,1960,BRASIL,BRASIL,PRI,INSTRU«√O,SBBP,SBBP,DECOLAGEM,TAKEOFF,VOO DE INSTRU«√O,LEVE,0,5/31/2019
201902051845159,PTRYO,OPERADOR PARTICULAR,AVI√O,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PIST√O,BIMOTOR,2155,AT… 2250 KG,6,1985,BRASIL,BRASIL,TPP,PARTICULAR,SWLC,SWLC,POUSO,LANDING,VOO PRIVADO,LEVE,0,5/31/2019
201012151657272,PTCMT,OPERADOR DE AERONAVE,AVI√O,BEECH AIRCRAFT,95-B55,BE55,PIST√O,BIMOTOR,2310,ENTRE 2250 E 5700 KG,6,1966,ESTADOS UNIDOS,BRASIL,TPX,T¡XI A…REO,****,****,CORRIDA APOS POUSO,LANDING,T¡XI A…REO,SUBSTANCIAL,0,5/31/2019
201406159986021,PPEID,ORG√O P√öBLICO,HELICOPTERO,EUROCOPTER FRANCE,AS 350 BA,AS50,TURBOEIXO,MONOMOTOR,2100,AT… 2250 KG,6,1983,FRAN«A,BRASIL,ADE,ADMINISTRA«√O DIRETA,****,****,OUTRA FASE,UNKNOWN,OPERA«√O POLICIAL,LEVE,0,5/31/2019
200902049378216,PTEQI,OPERADOR PARTICULAR,AVI√O,NEIVA INDUSTRIA AERONAUTICA,EMB-721C,P32R,PIST√O,MONOMOTOR,1633,AT… 2250 KG,6,1979,BRASIL,BRASIL,TPP,PARTICULAR,SNDU,SBSL,CORRIDA APOS POUSO,LANDING,VOO PRIVADO,LEVE,0,5/31/2019
200907229705031,PTKDW,OPERADOR PARTICULAR,AVI√O,CESSNA AIRCRAFT,182P,C182,PIST√O,MONOMOTOR,1338,AT… 2250 KG,4,1974,ESTADOS UNIDOS,BRASIL,TPP,PARTICULAR,SJCY,SIBX,CORRIDA APOS POUSO,LANDING,VOO PRIVADO,SUBSTANCIAL,0,5/31/2019
